title,author,url,cover_url,rating,summary,tags,number_of_pages,time,amazon_link,audible_link
The Moon Is a Harsh Mistress,Robert A. Heinlein,https://www.goodreads.com/book/show/16690.The_Moon_Is_a_Harsh_Mistress,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1348768309i/16690.jpg,4.16,"It is a tale of revolution, of the rebellion of a former penal colony on the Moon against its masters on the Earth. It is a tale of a culture whose family structures are based on the presence of two men for every woman, leading to novel forms of marriage and family. It is the story of the disparate people, a computer technician, a vigorous young female agitator, and an elderly academic who become the movement's leaders, and of Mike, the supercomputer whose sentience is known only to the revolt's inner circle, who for reasons of his own is committed to the revolution's ultimate success.","Science Fiction,Fiction,Classics,Science Fiction Fantasy,Fantasy,Audiobook,Politics",288,9 hours 36 minutes,https://www.amazon.com/gp/product/B07CWGBZ4R/ref=x_gr_bb_kindle?caller=Goodreads&tag=x_gr_bb_kindle-20,http://www.amazon.com/gp/product/0340837942/ref=x_gr_bb_amazon?ie=UTF8&tag=x_gr_bb_amazon-20&linkCode=as2&camp=1789&creative=9325&creativeASIN=0340837942&SubscriptionId=1MGPYB6YW3HWK55XCGG2
Solaris,Stanisław Lem,https://www.goodreads.com/book/show/95558.Solaris,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1498631519i/95558.jpg,3.99,"A classic work of science fiction by renowned Polish novelist and satirist Stanislaw Lem.When Kris Kelvin arrives at the planet Solaris to study the ocean that covers its surface, he finds a painful, hitherto unconscious memory embodied in the living physical likeness of a long-dead lover. Others examining the planet, Kelvin learns, are plagued with their own repressed and newly corporeal memories. The Solaris ocean may be a massive brain that creates these incarnate memories, though its purpose in doing so is unknown, forcing the scientists to shift the focus of their quest and wonder if they can truly understand the universe without first understanding what lies within their hearts.","Science Fiction,Fiction,Classics,Polish Literature,Science Fiction Fantasy,Philosophy,Fantasy",204,6 hours 48 minutes,http://www.amazon.com/s/ref=x_gr_bb_amazon?tag=x_gr_bb_amazon-20&creative=374001&campaign=211041&adid=082VK13VJJCZTQYGWWCZ&index=books&keyword=Solaris,https://www.amazon.com/s?k=Solaris&i=audible&ref=x_gr_w_bb_audible-20&tag=x_gr_w_bb_audible-20
"A Canticle for Leibowitz (St. Leibowitz, #1)",Walter M. Miller Jr.,https://www.goodreads.com/book/show/164154.A_Canticle_for_Leibowitz,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1450516880i/164154.jpg,3.98,"In a nightmarish ruined world slowly awakening to the light after sleeping in darkness, the infant rediscoveries of science are secretly nourished by cloistered monks dedicated to the study and preservation of the relics and writings of the blessed Saint Isaac Leibowitz. From here the story spans centuries of ignorance, violence, and barbarism, viewing through a sharp, satirical eye the relentless progression of a human race damned by its inherent humanness to recelebrate its grand foibles and repeat its grievous mistakes.","Science Fiction,Fiction,Post Apocalyptic,Classics,Dystopia,Fantasy,Science Fiction Fantasy",334,11 hours 8 minutes,http://www.amazon.com/gp/product/0060892994/ref=x_gr_bb_amazon?ie=UTF8&tag=x_gr_bb_amazon-20&linkCode=as2&camp=1789&creative=9325&creativeASIN=0060892994&SubscriptionId=1MGPYB6YW3HWK55XCGG2,https://www.amazon.com/s?k=A+Canticle+for+Leibowitz&i=audible&ref=x_gr_w_bb_audible-20&tag=x_gr_w_bb_audible-20
"Old Man's War (Old Man's War, #1)",John Scalzi,https://www.goodreads.com/book/show/36510196-old-man-s-war,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1509467059i/36510196.jpg,4.23,"John Perry did two things on his 75th birthday. First he visited his wife's grave. Then he joined the army.The good news is that humanity finally made it into interstellar space. The bad news is that planets fit to live on are scarce-- and alien races willing to fight us for them are common. So: we fight. To defend Earth, and to stake our own claim to planetary real estate. Far from Earth, the war has been going on for decades: brutal, bloody, unyielding.Earth itself is a backwater. The bulk of humanity's resources are in the hands of the Colonial Defense Force. Everybody knows that when you reach retirement age, you can join the CDF. They don't want young people; they want people who carry the knowledge and skills of decades of living. You'll be taken off Earth and never allowed to return. You'll serve two years at the front. And if you survive, you'll be given a generous homestead stake of your own, on one of our hard-won colony planets.John Perry is taking that deal. He has only the vaguest idea what to expect. Because the actual fight, light-years from home, is far, far harder than he can imagine--and what he will become is far stranger.","Science Fiction,Fiction,Space Opera,Science Fiction Fantasy,War,Military Fiction,Space",318,10 hours 36 minutes,https://www.amazon.com/gp/product/B000SEIK2S/ref=x_gr_bb_kindle?caller=Goodreads&tag=x_gr_bb_kindle-20,http://www.amazon.com/gp/product/B000SEIK2S/ref=x_gr_bb_amazon?ie=UTF8&tag=x_gr_bb_amazon-20&linkCode=as2&camp=1789&creative=9325&creativeASIN=B000SEIK2S&SubscriptionId=1MGPYB6YW3HWK55XCGG2
The Dispossessed: An Ambiguous Utopia,Ursula K. Le Guin,https://www.goodreads.com/book/show/13651.The_Dispossessed,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1353467455i/13651.jpg,4.24,"Shevek, a brilliant physicist, decides to take action. He will seek answers, question the unquestionable, and attempt to tear down the walls of hatred that have isolated his planet of anarchists from the rest of the civilized universe. To do this dangerous task will mean giving up his family and possibly his life—Shevek must make the unprecedented journey to the utopian mother planet, Urras, to challenge the complex structures of life and living, and ignite the fires of change.","Science Fiction,Fiction,Fantasy,Dystopia,Classics,Science Fiction Fantasy,Speculative Fiction",387,12 hours 54 minutes,http://www.amazon.com/s/ref=x_gr_bb_amazon?tag=x_gr_bb_amazon-20&creative=374001&campaign=211041&adid=082VK13VJJCZTQYGWWCZ&index=books&keyword=The+Dispossessed,https://www.amazon.com/s?k=The+Dispossessed&i=audible&ref=x_gr_w_bb_audible-20&tag=x_gr_w_bb_audible-20
"Dune (Dune, #1)",Frank Herbert,https://www.goodreads.com/book/show/44767458-dune,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1555447414i/44767458.jpg,4.26,"Set on the desert planet Arrakis, Dune is the story of the boy Paul Atreides, heir to a noble family tasked with ruling an inhospitable world where the only thing of value is the “spice” melange, a drug capable of extending life and enhancing consciousness. Coveted across the known universe, melange is a prize worth killing for...When House Atreides is betrayed, the destruction of Paul’s family will set the boy on a journey toward a destiny greater than he could ever have imagined. And as he evolves into the mysterious man known as Muad’Dib, he will bring to fruition humankind’s most ancient and unattainable dream.***Original, first edition from 1965 can be found here.","Science Fiction,Fiction,Fantasy,Classics,Science Fiction Fantasy,Audiobook,Space Opera",658,21 hours 56 minutes,http://www.amazon.com/gp/product/059309932X/ref=x_gr_bb_amazon?ie=UTF8&tag=x_gr_bb_amazon-20&linkCode=as2&camp=1789&creative=9325&creativeASIN=059309932X&SubscriptionId=1MGPYB6YW3HWK55XCGG2,https://www.amazon.com/s?k=Dune&i=audible&ref=x_gr_w_bb_audible-20&tag=x_gr_w_bb_audible-20
"A Wrinkle in Time (Time Quintet, #1)",Madeleine L'Engle,https://www.goodreads.com/book/show/33574273-a-wrinkle-in-time,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1507963312i/33574273.jpg,3.98,"It was a dark and stormy night.Out of this wild night, a strange visitor comes to the Murry house and beckons Meg, her brother Charles Wallace, and their friend Calvin O'Keefe on a most dangerous and extraordinary adventure—one that will threaten their lives and our universe.Winner of the 1963 Newbery Medal, A Wrinkle in Time is the first book in Madeleine L'Engle's classic Time Quintet.","Fantasy,Fiction,Classics,Young Adult,Science Fiction,Childrens,Middle Grade",218,7 hours 16 minutes,https://www.amazon.com/gp/product/B076H4XLBR/ref=x_gr_bb_kindle?caller=Goodreads&tag=x_gr_bb_kindle-20,http://www.amazon.com/gp/product/1250153271/ref=x_gr_bb_amazon?ie=UTF8&tag=x_gr_bb_amazon-20&linkCode=as2&camp=1789&creative=9325&creativeASIN=1250153271&SubscriptionId=1MGPYB6YW3HWK55XCGG2
A Clockwork Orange,Anthony Burgess,https://www.goodreads.com/book/show/41817486-a-clockwork-orange,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1549260060i/41817486.jpg,4,"In Anthony Burgess's influential nightmare vision of the future, criminals take over after dark. Teen gang leader Alex narrates in fantastically inventive slang that echoes the violent intensity of youth rebelling against society. Dazzling and transgressive, A Clockwork Orange is a frightening fable about good and evil and the meaning of human freedom. This edition includes the controversial last chapter not published in the first edition, and Burgess’s introduction, “A Clockwork Orange Resucked.”","Classics,Fiction,Science Fiction,Dystopia,Literature,Horror,Novels",240,8 hours 0 minutes,http://www.amazon.com/gp/product/0393341763/ref=x_gr_bb_amazon?ie=UTF8&tag=x_gr_bb_amazon-20&linkCode=as2&camp=1789&creative=9325&creativeASIN=0393341763&SubscriptionId=1MGPYB6YW3HWK55XCGG2,https://www.amazon.com/s?k=A+Clockwork+Orange&i=audible&ref=x_gr_w_bb_audible-20&tag=x_gr_w_bb_audible-20
Animal Farm,George Orwell,https://www.goodreads.com/book/show/170448.Animal_Farm,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1325861570i/170448.jpg,3.98,"Librarian's note: There is an Alternate Cover Edition for this edition of this book here.A farm is taken over by its overworked, mistreated animals. With flaming idealism and stirring slogans, they set out to create a paradise of progress, justice, and equality. Thus the stage is set for one of the most telling satiric fables ever penned –a razor-edged fairy tale for grown-ups that records the evolution from revolution against tyranny to a totalitarianism just as terrible. When Animal Farm was first published, Stalinist Russia was seen as its target. Today it is devastatingly clear that wherever and whenever freedom is attacked, under whatever banner, the cutting clarity and savage comedy of George Orwell’s masterpiece have a meaning and message still ferociously fresh.","Classics,Fiction,Dystopia,Fantasy,School,Politics,Literature",128,4 hours 16 minutes,http://www.amazon.com/gp/product/0451526341/ref=x_gr_bb_amazon?ie=UTF8&tag=x_gr_bb_amazon-20&linkCode=as2&camp=1789&creative=9325&creativeASIN=0451526341&SubscriptionId=1MGPYB6YW3HWK55XCGG2,https://www.amazon.com/s?k=Animal+Farm&i=audible&ref=x_gr_w_bb_audible-20&tag=x_gr_w_bb_audible-20
Snow Crash,Neal Stephenson,https://www.goodreads.com/book/show/40651883-snow-crash,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1589842551i/40651883.jpg,4.02,"In reality, Hiro Protagonist delivers pizza for Uncle Enzo's CosoNostra Pizza Inc., but in the Metaverse he's a warrior prince. Plunging headlong into the enigma of a new computer virus that's striking down hackers everywhere, he races along the neon-lit streets on a search-and-destroy mission for the shadowy virtual villain threatening to bring about infocalypse. Snow Crash is a mind-altering romp through a future America so bizarre, so outrageous… you'll recognize it immediately.","Science Fiction,Fiction,Cyberpunk,Fantasy,Science Fiction Fantasy,Dystopia,Novels",559,18 hours 38 minutes,https://www.amazon.com/gp/product/B000FBJCJE/ref=x_gr_bb_kindle?caller=Goodreads&tag=x_gr_bb_kindle-20,http://www.amazon.com/s/ref=x_gr_bb_amazon?tag=x_gr_bb_amazon-20&creative=374001&campaign=211041&adid=082VK13VJJCZTQYGWWCZ&index=books&keyword=Snow+Crash
Starship Troopers,Robert A. Heinlein,https://www.goodreads.com/book/show/17214.Starship_Troopers,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1614054412i/17214.jpg,4.01,"The historians can’t seem to settle whether to call this one ""The Third Space War"" (or the fourth), or whether ""The First Interstellar War"" fits it better. We just call it “The Bug War."" Everything up to then and still later were ""incidents,"" ""patrols,"" or ""police actions."" However, you are just as dead if you buy the farm in an ""incident"" as you are if you buy it in a declared war...In one of Robert A. Heinlein’s most controversial bestsellers, a recruit of the future goes through the toughest boot camp in the Universe—and into battle with the Terran Mobile Infantry against mankind’s most alarming enemy.","Science Fiction,Fiction,Classics,Military Fiction,War,Science Fiction Fantasy,Space Opera",264,8 hours 48 minutes,https://www.amazon.com/gp/product/B004EYTK2C/ref=x_gr_bb_kindle?caller=Goodreads&tag=x_gr_bb_kindle-20,http://www.amazon.com/gp/product/0441783589/ref=x_gr_bb_amazon?ie=UTF8&tag=x_gr_bb_amazon-20&linkCode=as2&camp=1789&creative=9325&creativeASIN=0441783589&SubscriptionId=1MGPYB6YW3HWK55XCGG2
"Speaker for the Dead (Ender's Saga, #2)",Orson Scott Card,https://www.goodreads.com/book/show/7967.Speaker_for_the_Dead,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1295660894i/7967.jpg,4.09,"Now available in mass market, the revised, definitive edition of the Hugo and Nebula Award-winning classic. In this second book in the saga set 3,000 years after the terrible war, Ender Wiggin is reviled by history as the Xenocide--the destroyer of the alien Buggers. Now, Ender tells the true story of the war and seeks to stop history from repeating itself. ...In the aftermath of his terrible war, Ender Wiggin disappeared, and a powerful voice arose: The Speaker for the Dead, who told the true story of the Bugger War.Now, long years later, a second alien race has been discovered, but again the aliens' ways are strange and frightening...again, humans die. And it is only the Speaker for the Dead, who is also Ender Wiggin the Xenocide, who has the courage to confront the mystery...and the truth.Speaker for the Dead, the second novel in Orson Scott Card's Ender Quintet, is the winner of the 1986 Nebula Award for Best Novel and the 1987 Hugo Award for Best Novel.","Science Fiction,Fiction,Fantasy,Science Fiction Fantasy,Young Adult,Audiobook,Space",382,12 hours 44 minutes,https://www.amazon.com/gp/product/B003H4I4JU/ref=x_gr_bb_kindle?caller=Goodreads&tag=x_gr_bb_kindle-20,http://www.amazon.com/gp/product/0812550757/ref=x_gr_bb_amazon?ie=UTF8&tag=x_gr_bb_amazon-20&linkCode=as2&camp=1789&creative=9325&creativeASIN=0812550757&SubscriptionId=1MGPYB6YW3HWK55XCGG2
The War of the Worlds,H.G. Wells,https://www.goodreads.com/book/show/8909.The_War_of_the_Worlds,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1320391644i/8909.jpg,3.83,"When an army of invading Martians lands in England, panic and terror seize the population. As the aliens traverse the country in huge three-legged machines, incinerating all in their path with a heat ray and spreading noxious toxic gases, the people of the Earth must come to terms with the prospect of the end of human civilization and the beginning of Martian rule.Inspiring films, radio dramas, comic-book adaptations, television series and sequels,The War of the Worlds is a prototypical work of science fiction which has influenced every alien story that has come since, and is unsurpassed in its ability to thrill, well over a century since it was first published.","Classics,Science Fiction,Fiction,Fantasy,Horror,Science Fiction Fantasy,Literature",192,6 hours 24 minutes,https://www.amazon.com/gp/product/B08P13VXGJ/ref=x_gr_bb_kindle?caller=Goodreads&tag=x_gr_bb_kindle-20,http://www.amazon.com/gp/product/0375759239/ref=x_gr_bb_amazon?ie=UTF8&tag=x_gr_bb_amazon-20&linkCode=as2&camp=1789&creative=9325&creativeASIN=0375759239&SubscriptionId=1MGPYB6YW3HWK55XCGG2
